,words,frequency
0,Yes,5
1,follow,9
2,tutorials,20
3,gallery,20
4,for,15
5,more,12
6,sigam,9
7,para,9
8,mais,9
9,Credit,9
10,blossom,3
11,video,9
12,videos,9
13,danymartines,4
14,amauryguichon,1
15,DOUBLE,1
16,TAP,1
17,For,1
18,Follow,10
19,Siga,1
20,GOSTARAM,1
21,Curti,1
22,Marque,1
23,amigos,1
24,TAG,1
25,friend,1
26,who,2
27,will,1
28,love,1
29,this,10
30,feelgoodfoodie,1
31,tutorial,2
32,missysueblog,1
33,Cheesestakes,1
34,and,4
35,Fries,1
36,what,5
37,beautiful,1
38,site,1
39,How,5
40,many,4
41,drools,8
42,would,7
43,you,16
44,give,5
45,going,3
46,with,8
47,grubspot,2
48,Fried,3
49,Shrimp,1
50,Taco,2
51,rate,3
52,losangeles_eats,1
53,Dripping,1
54,from,2
55,drooling,1
56,What,2
57,jakesfoodbible,1
58,Bacon,1
59,Wrapped,1
60,Jalapeño,1
61,Sliders,1
62,drool,1
63,meter,1
64,peaking,1
65,twisted,2
66,tripactions,2
67,Copenhagen,1
68,delight,1
69,Rolled,1
70,ice,1
71,cream,1
72,bubblewaffle,1
73,the,13
74,best,2
75,food,14
76,guides,1
77,your,3
78,favorite,2
79,cities,1
80,candyandcocoa,2
81,Birthday,1
82,Cake,3
83,Chimney,1
84,Cone,1
85,needs,1
86,are,6
87,simple,1
88,Chicken,2
89,goodeatzco,1
90,obsessed,1
91,crepes,1
92,haven,1
93,notice,1
94,now,1
95,Comment,1
96,below,2
97,Breaking,1
98,Bad,1
99,inspired,1
100,recipes,1
101,That,1
102,blue,1
103,crystal,1
104,cake,2
105,tho,1
106,tag,1
107,someone,1
108,loves,1
109,breakingbad,1
110,Loukoumades,2
111,being,1
112,made,3
113,smothered,1
114,honey,2
115,bite,1
116,sized,1
117,sweet,2
118,puffs,1
119,pretty,1
120,much,1
121,Greek,1
122,version,1
123,donuts,1
124,foodyfetish,11
125,There,1
126,NEVER,1
127,enough,1
128,cheese,3
129,nycwff,6
130,These,1
131,squash,1
132,ravioli,1
133,rezdoranyc,1
134,stole,1
135,show,1
136,Who,3
137,can,3
138,turn,1
139,down,1
140,lemon,1
141,tart,1
142,Not,1
143,Watch,3
144,geoffreyzakarian,1
145,TheKitchen,1
146,Saturdays,1
147,11a,1
148,10c,1
149,Find,2
150,Geoffrey,1
151,Lemon,1
152,Tart,1
153,FoodNetwork,3
154,com,4
155,else,1
156,wants,1
157,take,1
158,dip,1
159,pool,1
160,chocolate,1
161,Could,1
162,watch,1
163,repeat,1
164,guidogobino,1
165,Can,1
166,think,1
167,any,2
168,reason,1
169,NOT,1
170,make,1
171,Giant,1
172,Roll,1
173,today,1
174,Get,1
175,recipe,2
176,This,5
177,looks,1
178,like,2
179,hot,1
180,chicken,1
181,sandwich,1
182,but,2
183,actually,2
184,MUSHROOMS,1
185,See,1
186,how,1
187,tigertigertavern,1
188,does,1
189,DDD,1
190,guyfieri,1
191,Fridays,1
192,Doughnuts,1
193,DOWN,1
194,prosciutto,1
195,stout,1
196,flavor,1
197,our,3
198,dream,1
199,sugarandwaternyc,1
200,Pro,1
201,tip,1
202,You,2
203,ROLL,1
204,onto,1
205,bed,1
206,sprinkles,1
207,pattern,1
208,want,1
209,Are,1
210,against,1
211,candy,1
212,corn,1
213,Sound,2
214,off,1
215,comments,1
216,Thanks,1
217,chelsweets,1
218,NEW,1
219,HalloweenBakingChampionship,1
220,tomorrow,1
221,Nothin,1
222,deep,1
223,fried,1
224,jalapeño,1
225,mac,1
226,popper,1
227,start,1
228,Chopped,1
229,NYCWFF,2
230,event,1
231,killing,1
232,burgerincnyc,1
233,Octopus,1
234,tender,1
235,could,1
236,cut,1
237,BUTTER,1
238,KNIFE,1
239,was,1
240,sooo,1
241,good,1
242,handsomedevilllc,1
243,Recipe,1
244,Day,1
245,Butternut,2
246,Squash,1
247,Stuffed,1
248,ShellsMaking,1
249,cheesy,1
250,fall,3
251,stuffed,1
252,shells,1
253,REPEAT,1
254,Hello,1
255,Alfredo,1
256,Our,2
257,writer,3
258,jesseszewczyk,5
259,out,2
260,here,1
261,making,2
262,apple,2
263,season,3
264,taking,1
265,advantage,1
266,new,1
267,produce,1
268,Tasty,2
269,merch,1
270,store,1
271,NOW,2
272,OPEN,1
273,ready,1
274,rock,1
275,all,2
276,day,1
277,Shop,1
278,https,1
279,bzfd,1
280,shopbffoodinsta,1
281,Thinking,1
282,about,1
283,crazy,1
284,pie,1
285,last,1
286,year,1
287,getting,1
288,excited,1
289,baking,2
290,planning,1
291,bake,1
292,Pizza,2
293,Sunday,1
294,Currently,1
295,craving,2
296,view,2
297,And,1
298,that,1
299,okay,1
300,Check,1
301,stories,1
302,bites,1
303,gotta,1
304,try,1
305,when,1
306,Barbados,1
307,comment,1
308,foodie,1
309,travel,1
310,destination,1
311,sandalsresorts,1
312,visitbarbados,1
313,Tag,5
314,Virgo,1
315,goodful,2
316,spending,1
317,long,1
318,weekend,1
319,salty,1
320,peanut,1
321,shortbread,1
322,cookies,1
323,knows,2
324,just,1
325,those,1
326,peak,1
327,tomatoes,1
328,inspo,1
329,tooth,1
330,never,1
331,leaves,1
332,alone,1
333,currently,1
334,Brownie,1
335,skillet,1
336,buzzfeedtasty,1
337,Mac,2
338,dairy,1
339,free,1
340,won,1
341,feel,1
342,guilty,1
343,after,1
344,Deep,1
345,Steak,1
346,Love,7
347,doncaruso_bbq,1
348,Meat,1
349,Lover,4
350,Chocolate,3
351,Soufflé,1
352,miami_foodporn,1
353,Dessert,3
354,Dulce,1
355,Leche,1
356,Molten,2
357,foodyfetishoriginalTag,1
358,Shawarma,1
359,nonstopeats,1
360,icons8,1
361,musicTag,1
362,Hungry,5
363,Friend,6
364,Cheese,2
365,Wheel,1
366,Prepared,1
367,Pasta,1
368,sweetportfolioTag,1
369,Carne,1
370,Asada,1
371,Quesadilla,1
372,theirregularlens,1
373,montydatta,1
374,Jamming,1
375,HeavenTag,1
376,Thin,1
377,Style,1
378,Square,1
379,Cut,1
380,Pepperoni,1
381,devourpowerTag,1
382,Buffalo,1
383,Chimichanga,1
384,forkmeetsfoodTag,1
385,Chip,1
386,Cookie,1
387,foodyfetishoriginal,2
388,Lava,1
389,Eruption,1
